"material","provider","thickness","length","width","display","sheet_cost"
"Brass 260","online-metals",0.02,48,24,"Brass 260-L-48.000-W-24.000-T-0.020",92.36
"Brass 260","online-metals",0.02,36,24,"Brass 260-L-36.000-W-24.000-T-0.020",70.87
"Brass 260","online-metals",0.02,24,24,"Brass 260-L-24.000-W-24.000-T-0.020",48.33
"Brass 260","online-metals",0.02,24,12,"Brass 260-L-24.000-W-12.000-T-0.020",30.08
"Brass 260","online-metals",0.02,48,12,"Brass 260-L-48.000-W-12.000-T-0.020",48.33
"Brass 260","online-metals",0.02,12,12,"Brass 260-L-12.000-W-12.000-T-0.020",15.55
"Brass 260","online-metals",0.02,36,12,"Brass 260-L-36.000-W-12.000-T-0.020",38.66
"Brass 260","online-metals",0.01,48,24,"Brass 260-L-48.000-W-24.000-T-0.010",67.19
"Brass 260","online-metals",0.01,36,24,"Brass 260-L-36.000-W-24.000-T-0.010",51.56
"Brass 260","online-metals",0.01,24,24,"Brass 260-L-24.000-W-24.000-T-0.010",35.16
"Brass 260","online-metals",0.01,24,12,"Brass 260-L-24.000-W-12.000-T-0.010",21.87
"Brass 260","online-metals",0.01,48,12,"Brass 260-L-48.000-W-12.000-T-0.010",35.16
"Brass 260","online-metals",0.01,36,12,"Brass 260-L-36.000-W-12.000-T-0.010",28.12
"Brass 260","online-metals",0.01,12,12,"Brass 260-L-12.000-W-12.000-T-0.010",11.32
"Aluminum 7075-T6","online-metals",0.16,48,36,"Aluminum 7075-T6-L-48.000-W-36.000-T-0.160",298.68
"Aluminum 7075-T6","online-metals",0.16,36,36,"Aluminum 7075-T6-L-36.000-W-36.000-T-0.160",234.93
"Aluminum 7075-T6","online-metals",0.16,48,24,"Aluminum 7075-T6-L-48.000-W-24.000-T-0.160",217.18
"Aluminum 7075-T6","online-metals",0.16,36,24,"Aluminum 7075-T6-L-36.000-W-24.000-T-0.160",175.02
"Aluminum 7075-T6","online-metals",0.16,24,24,"Aluminum 7075-T6-L-24.000-W-24.000-T-0.160",119.31
"Aluminum 7075-T6","online-metals",0.16,48,12,"Aluminum 7075-T6-L-48.000-W-12.000-T-0.160",119.31
"Aluminum 7075-T6","online-metals",0.16,36,12,"Aluminum 7075-T6-L-36.000-W-12.000-T-0.160",95.47
"Aluminum 7075-T6","online-metals",0.16,24,12,"Aluminum 7075-T6-L-24.000-W-12.000-T-0.160",74.23
"Aluminum 7075-T6","online-metals",0.16,12,12,"Aluminum 7075-T6-L-12.000-W-12.000-T-0.160",38.43
"Aluminum 7075-T6","online-metals",0.125,48,36,"Aluminum 7075-T6-L-48.000-W-36.000-T-0.125",232.83
"Aluminum 7075-T6","online-metals",0.125,36,36,"Aluminum 7075-T6-L-36.000-W-36.000-T-0.125",200
"Aluminum 7075-T6","online-metals",0.125,48,24,"Aluminum 7075-T6-L-48.000-W-24.000-T-0.125",177.77
"Aluminum 7075-T6","online-metals",0.125,36,24,"Aluminum 7075-T6-L-36.000-W-24.000-T-0.125",136.43
"Aluminum 7075-T6","online-metals",0.125,24,24,"Aluminum 7075-T6-L-24.000-W-24.000-T-0.125",103.35
"Aluminum 7075-T6","online-metals",0.125,48,12,"Aluminum 7075-T6-L-48.000-W-12.000-T-0.125",103.35
"Aluminum 7075-T6","online-metals",0.125,36,12,"Aluminum 7075-T6-L-36.000-W-12.000-T-0.125",82.69
"Aluminum 7075-T6","online-metals",0.125,24,12,"Aluminum 7075-T6-L-24.000-W-12.000-T-0.125",64.31
"Aluminum 7075-T6","online-metals",0.125,12,12,"Aluminum 7075-T6-L-12.000-W-12.000-T-0.125",33.3
"Aluminum 7075-T6","online-metals",0.09,48,36,"Aluminum 7075-T6-L-48.000-W-36.000-T-0.090",133.46
"Aluminum 7075-T6","online-metals",0.09,36,36,"Aluminum 7075-T6-L-36.000-W-36.000-T-0.090",116.64
"Aluminum 7075-T6","online-metals",0.09,48,24,"Aluminum 7075-T6-L-48.000-W-24.000-T-0.090",103.67
"Aluminum 7075-T6","online-metals",0.09,36,24,"Aluminum 7075-T6-L-36.000-W-24.000-T-0.090",79.57
"Aluminum 7075-T6","online-metals",0.09,24,24,"Aluminum 7075-T6-L-24.000-W-24.000-T-0.090",54.25
